"ets Jun  8 2%�����4",�1��3.16,0.62
8.17,0.61,
13.18,0.83,
18.18,1.05,
23.19,1.31,
28.20,1.60,
33.21,1.38,
38.21,2.12,
43.22,2.40,
48.23,2.69,
53.24,3.01,
58.24,3.31,
63.25,3.47,
68.26,3.73,
73.27,5.12,
78.27,5.12,
83.28,5.12,
88.29,5.12,
93.30,5.12,
98.30,5.12,
103.31,5.12,
108.32,5.12,
113.33,5.12,
118.34,5.12,
123.34,5.12,
128.35,5.12,
133.36,5.12,
138.37,5.12,
143.37,5.12,
148.38,5.12,
153.39,5.12,
158.40,5.12,
163.40,5.12,
168.41,5.12,
173.42,5.12,
178.43,5.12,
183.43,5.12,
188.44,5.12,
193.45,5.12,
198.46,5.12,
203.47,5.12,
208.47,5.12,
213.48,5.12,
218.49,5.12,
223.50,5.12,
228.50,5.12,
233.51,5.12,
238.52,5.12,
243.53,5.12,
248.53,5.12,
253.54,5.12,
258.55,5.12,
263.55,5.12,
268.56,5.12,
273.57,5.12,
278.58,5.12,
283.59,5.12,
288.59,5.12,
293.60,5.12,
298.61,5.12,
303.62,5.12,
308.62,5.12,
313.63,5.12,
318.64,5.12,
323.65,5.12,
328.66,5.12,
333.66,5.12,
338.67,5.12,
343.68,5.12,
348.69,5.12,
353.69,5.12,
358.70,5.12,
363.71,5.12,
368.72,5.12,
373.72,5.12,
378.73,5.12,
383.74,5.12,
388.75,5.12,
393.76,5.12,
398.76,5.12,
403.77,5.12,
408.78,5.12,
413.79,5.12,
418.80,5.12,
423.81,5.12,
428.82,5.12,
433.82,5.12,
438.83,5.12,
443.84,5.12,
448.85,5.12,
453.85,5.12,
458.86,5.12,
463.87,5.12,
468.88,5.12,
473.88,5.12,
478.89,5.12,
483.90,5.12,
488.91,5.12,
493.92,5.12,
498.92,5.12,
503.93,5.12,
508.94,5.12,
513.95,5.12,
518.95,5.12,
523.96,5.12,
528.97,5.12,
533.98,5.12,
538.98,5.12,
544.00,5.12,
549.01,5.12,
554.01,5.12,
559.02,5.12,
564.03,5.12,
569.04,5.12,
574.04,5.12,
579.05,5.12,
584.06,5.12,
589.07,5.12,
594.07,5.12,
599.08,5.12,
604.09,5.12,
609.10,5.12,
614.10,5.12,
619.11,5.12,
624.12,5.12,
629.13,5.12,
634.14,5.12,
639.14,5.12,
644.15,5.12,
649.16,5.12,
654.17,5.12,
659.17,5.12,
664.18,5.12,
669.19,5.12,
674.20,5.12,
679.20,5.12,
684.21,5.12,
689.22,5.12,
694.23,5.12,
699.23,5.12,
704.24,5.12,
709.25,5.12,
714.26,5.12,
719.26,5.12,
724.27,5.12,
729.28,5.12,
734.29,5.12,
739.30,5.12,
744.30,5.12,
749.31,5.12,
754.32,5.12,
759.33,5.12,
764.34,5.12,
769.34,5.12,
774.35,5.12,
779.36,5.12,
784.36,5.12,
789.37,5.12,
794.38,5.12,
799.39,5.12,
804.39,5.12,
809.40,5.12,
814.41,5.12,
819.42,5.12,
824.43,5.12,
829.43,5.12,
834.44,5.12,
839.45,5.12,
844.46,5.12,
849.46,5.12,
854.47,5.12,
859.48,5.12,
864.49,5.12,
869.49,5.12,
874.50,5.12,
879.51,5.12,
884.52,5.12,
889.53,5.12,
894.53,5.12,
899.54,5.12,
904.55,5.12,
909.56,5.12,
914.57,5.12,
919.57,5.12,
924.58,5.12,
929.59,5.12,
934.60,5.12,
939.61,5.12,
944.61,5.12,
949.62,5.12,
954.63,5.12,
959.64,5.12,
964.64,5.12,
969.65,5.12,
974.66,5.12,
979.67,5.12,
984.67,5.12,
989.68,5.12,
994.69,5.12,
999.70,5.12,
1004.70,5.12,
1009.71,5.12,
1014.72,5.12,
1019.73,5.12,
1024.74,5.12,
1029.74,5.12,
1034.75,5.12,
1039.76,5.12,
1044.76,5.12,
1049.77,5.12,
1054.78,5.12,
1059.79,5.12,
1064.80,5.12,
1069.81,5.12,
1074.82,5.12,
1079.82,5.12,
1084.83,5.12,
1089.84,5.12,
1094.85,5.12,
1099.85,5.12,
1104.86,5.12,
1109.87,5.12,
1114.88,5.12,
1119.89,5.12,
1124.89,5.12,
1129.90,5.12,
1134.91,5.12,
1139.92,5.12,
1144.92,5.12,
1149.93,5.12,
1154.94,5.12,
1159.95,5.12,
1164.95,5.12,
1169.96,5.12,
1174.97,5.12,
1179.98,5.12,
1184.98,5.12,
1190.00,5.12,
1195.01,5.12,
1200.01,5.12,
1205.02,5.12,
1210.03,5.12,
1215.04,5.12,
1220.04,5.12,
1225.05,5.12,
1230.06,5.12,
1235.07,5.12,
1240.07,5.12,
1245.08,5.12,
1250.09,5.12,
1255.10,5.12,
1260.11,5.12,
1265.11,5.12,
1270.12,5.12,
1275.13,5.12,
1280.14,5.12,
1285.14,5.12,
1290.15,5.12,
1295.16,5.12,
1300.17,5.12,
1305.18,5.12,
1310.18,5.12,
1315.19,5.12,
1320.20,5.12,
1325.21,5.12,
1330.22,5.12,
1335.22,5.12,
1340.23,5.12,
1345.24,5.12,
1350.24,5.12,
1355.25,5.12,
1360.26,5.12,
1365.27,5.12,
1370.27,5.12,
1375.28,5.12,
1380.29,5.12,
1385.30,5.12,
1390.30,5.12,
1395.31,5.12,
1400.32,5.12,
1405.33,5.12,
1410.34,5.12,
1415.34,5.12,
1420.35,5.12,
1425.36,5.12,
1430.36,5.12,
1435.37,5.12,
1440.38,5.12,
1445.39,5.12,
1450.39,5.12,
1455.40,5.12,
1460.41,5.12,
1465.42,5.12,
1470.43,5.12,
1475.43,5.12,
1480.44,5.12,
1485.45,5.12,
1490.46,5.12,
1495.47,5.12,
1500.47,5.12,
1505.48,5.12,
1510.49,5.12,
1515.50,5.12,
1520.50,5.12,
1525.51,5.12,
1530.52,5.12,
1535.53,5.12,
1540.53,5.12,
1545.54,5.12,
1550.55,5.12,
1555.55,5.12,
1560.56,5.12,
1565.57,5.12,
1570.58,5.12,
1575.59,5.12,
1580.59,5.12,
1585.60,5.12,
1590.61,5.12,
1595.62,5.12,
1600.63,5.12,
1605.63,5.12,
1610.64,5.12,
1615.65,5.12,
1620.66,5.12,
1625.66,5.12,
1630.67,5.12,
1635.68,5.12,
1640.68,5.12,
1645.69,5.12,
1650.70,5.12,
1655.71,5.12,
1660.72,5.12,
1665.72,5.12,
1670.73,5.12,
1675.74,5.12,
1680.75,5.12,
